Item_Iden,Item_Weig,Item_Fat_,Item_Visib,Item_Type,Item_MRP,Outlet_Ide,Outlet_Est,Outlet_Siz,Lo_Outlet_,Typ_Item_O,Item_Sales
FDX12,16.12116046175751,low fat,0.11546545772181595,Meat,149.50674392627167,OUT055,2003,Large,Tier 1,Hypermarket,402.7078784119005
FDX08,9.058918135667192,Low Fat,0.04605617921224832,Meat,119.81366965230188,OUT056,2005,Medium,Tier_2,Hypermarket,60.0
FDN12,16.984031607531506,No Fat,0.14567596924554888,Frozen Foods,178.42127814503988,OUT030,2005,Very High,Tier 1,Hypermarket,1432.8550611827927
FDA22,8.949544688711306,No Fat,0.04783883334099916,Others,112.86277401409853,OUT038,1991,Very High,,Hyper Mkt,60.0
FDX02,7.6113954856700445,Regular,0.021188780014362613,Breakfast,148.54025341120388,OUT052,1997,High,Tier 3,Grocery Store,411.45142088924183
FDA17,13.759677300470358,low fat,0.11866905223582244,Soft Drinks,257.86055321398914,OUT011,2006,SML,Tier 3 ,Supermarket,1421.5352653367654
FDN14,4.986819057329141,LF,0.13076988674839254,Seafood,39.13798229724816,OUT035,1998,High,Tier 1,Supermarket,412.1058001518774
FDA18,17.642316507378236,Regular,0.11293047373845955,Soft Drinks,151.04594350972144,OUT038,1997,High,Tier 1 ,Grocery Store,1768.1608087950158
FDX03,11.169684635267549,,0.03734132888875912,Soft Drinks,236.3614839863133,OUT059,2005,High,Tier 3, Shopping Complex ,603.5542659446372
FDX10,14.730703206168847,low fat,0.06079373182259722,Vegetables,73.68445793558013,OUT005,1991,small ,Tier 1,Hypermarket,60.0
DRC07,12.90693875150361,No Fat,0.052870567904583575,Meat,91.0393313095881,OUT010,1995,Medium,Tier 3,DCO,1157.6103450794205
FDX08,16.678450881806143,Low Fat,0.03907891857208691,Others,200.43986927453545,OUT031,2005,Medium,Zone A,Supermarket,1322.2267018911093
DRC12,15.886973896684735,No Fat,0.29362952063466624,Fruits and Veggies,147.1809605957205,OUT026,2002,Very High,Tier 2,Supermarket ,124.71879584414114
FDN13,17.278184082460083,Regular,0.07869289565636574,Snack Foods,203.07366386941084,OUT053,1997,Very High,Tier 1,Hypermarket,690.8065114512143
FDX09,22.451026814797082,No Fat,0.3145729392907533,Household,89.37494865565381,OUT005,2000,Small,Tier 3,Hypermarket,647.7363445647736
DRC11,12.312979798978894,Regular,0.11290510262897085,Others,143.0513368728403,OUT038,2001,,Rural,Shopping Complex,308.9717489124241
FDX10,13.009902741312498,Low Fat,0.08596839291626482,Health and Hygiene,166.49063701040694,OUT058,2001,High,Tier 3,Supermarket,1023.6398757142676
FDA05,4.657481404898901,No Fat,0.05423338352526657,Hard Drinks,201.2158326792924,OUT058,2005,Medium, Tier 3 ,Supermarket,1646.3704562727905
DRC13,8.252049688408121,No Fat,0.048760210988303375,Meat,190.49871220331596,OUT029,1999,Very High,Rural,Supermarket,438.683581780944
